类别,项目,子项,值,单位/备注
t_f,问题3主值(未舍入右端点),,57.179925,h
t_f,问题3穿越区间,,"[205837.73,205847.73]",s
t_f,问题3 Richardson外推,,57.163562,h
t_f,问题3舍入判定(60s四位小数),,57.2333,h
t_f,"问题4主值(未舍入右端点,内生几何)",,50.536869,h（附件2外生版 50.823025 作交叉验证）
t_f,问题4 Richardson外推(内生几何),,50.536867,h
t_f,问题3外部锚点56.92/56.93/57.45偏差,,+0.26/+0.25/-0.27,h
验证,V1热场解析对拍最大偏差(N=320),,5.90e-07,见报告
验证,V1收敛阶,,2.000/1.993/1.990,见报告
验证,V2尾段衰减率γ(实测),,3.5545e-06/s,见报告
验证,V2尾段ln线性R2,,0.997188,见报告
验证,V2尾段等效D反演(对应C),,2.538e-10(C≈0.108),见报告
验证,V3问题3严格下界,,15.7021,见报告
验证,V3问题4收缩下界(时间积分),,19.016,见报告
验证,V4水量逐窗残差max,,5.54e-11,见报告
验证,V4总焓全局吞吐残差,,1.05e-11,见报告
验证,V5a移动域vs固定域Δt_f,,0.00,见报告
验证,V5b退化首模商,,0.99996,见报告
验证,V6场级空间阶,,1.90-2.45,见报告
验证,内生几何自洽R_pred vs 附件2 RMSE,,0.0739,mm（out-of-fit 检验）
验证,耦合内生t_f vs 外生t_f偏差,,-0.2862,h（−0.22% 量级）
敏感性,"C_e=0.04986(题目口径,主)",,57.2009,Δ+0.0000 h
敏感性,"C_e=0.1366(山药解吸支,题外修正)",,79.8270,Δ+22.6261 h
敏感性,"半径插值PCHIP(主,问题4)",,50.8295,Δ+0.0000 h
敏感性,半径插值线性(问题4),,50.8317,Δ+0.0022 h
敏感性,"环境外推:末值保持(主,M2引用)",,57.2009,Δ+0.0000 h
敏感性,环境外推:线性外推(M2引用),,58.8203,Δ+1.6194 h
敏感性,环境外推:末1h均值(M2引用),,57.5034,Δ+0.3025 h
敏感性,问题4效应拆分:附4固定R(M3引用),,129.1047,Δ+78.5678 h（对内生主解，收缩效应 60.9%）
敏感性,"问题4效应拆分:附4+R(t)(主,M3引用)",,50.8230,Δ-0.0065 h
敏感性,问题4效应拆分:问题3(M2引用),,57.1799,Δ+6.6431 h（公式+收缩效应 11.6%）
敏感性,问题4效应拆分:附4+内生R(t)(主),,50.5369,—（内生几何主解）
误差预算,"空间网格(N=160,Richardson偏差)",,0.0164,可收敛
误差预算,时间步(rtol/10实测),,0.0014,可收敛
误差预算,非线性迭代(Picard/Newton对照),,1e-06,可收敛
误差预算,输出重建/1s插值(曲率上界),,0.0002575,可收敛
误差预算,"半径插值(线性vsPCHIP,问题4)",,0.002168,口径依赖
误差预算,舍入(60s网格+四位小数实测),,0.0701,固有
误差预算,环境外推(三档最大偏移),,1.619,情景假设
误差预算,确定性合成区间,,±1.7097,h(不含C_e口径)
判据,Le[附录3],,10.69–640.6,α/D
判据,Bi_m[附录3],,1.181–47.75,h_m·R/D
判据,Bi_h[附录3],,1.035–1.926,h·R/k
判据,Le[附录4],,31.21–556.1,α/D
判据,Bi_m[附录4],,6.361–100.4,h_m·R/D
判据,Bi_h[附录4],,1.896–3.423,h·R/k
